G001|ansoncjh|050811111111|0123456789|anson@email.com|malaysian
G002|yuxun|010101010101|01234567890|yuxun@gmail.com|haha
G003|hxuan|030303030303|01234567890|hxuan@gmail.com|hihi
G004|eason|050811121259|0123456789|eason@email.com|singaporean
G005|jason|990811121259|0123456789|ansoncjh123@gmai.com|malaysian
G006|gay|050811121292|0123456789|gay@hotmail.com|malaysian
G007|nigger|050811121257|01234567899|nigger@rocketmail.com|malaysian
G008|blacknigger|050811121254|0123456789|niggest@rocketmail.com|nigga
G009|Wong Hao Xuan|050409080591|0127782947|whaoxuan@gmail.com|mlys
G010|lih|090075757589|0987654321|ha@gmail.com|mlys
G011|wong hx|050809080987|0972838493|ij@gmail.com|mlys
G012|wong hao xuan|090807079754|0988900987|js@gmail.com|mlys
